"Wallet Name","Amount","Address"
"Whale Wallet 1",253306923,"https://algoexplorer.io/address/7BZEUIEPHZGDK6E673DVOY6BVCCZC6YFAJ3QWROPBZK5XKGE5GUWDYZRUY"
"Whale Wallet 2",209305960,"https://algoexplorer.io/address/OMHYS6DGAS2GQIMALPYPSMNDQ2735J7Z76RQFH7KP2MIPDHXOZYVV3TVO4"
"Whale Wallet 3",191334995,"https://algoexplorer.io/address/XUPBGF6OXIRVIGU2VHHYJFI4JEHLLIPNLMWNCSUZ7F44KYFRPV52ULIYNI"
"Whale Wallet 4",191334995,"https://algoexplorer.io/address/3NGBML54PC7AJATJGW5BXMF6ZOFO2V4VTKKRTS3EAZXTVVHSPXTNV2GKEA"
"Whale Wallet 5",191334995,"https://algoexplorer.io/address/VAOTJJLJP54QIKGCCFNJZVNHXXFZUZ3AAXCVGX5LRDQXQOUZRWBFBASUDQ"
"Whale Wallet 6",191334995,"https://algoexplorer.io/address/OM2NLTOCWVDGX5XI6ETIQPW2CEILSEJFOC4NX5TJCTU6WMNC2KT2OUCT4M"
"Whale Wallet 7",174376495,"https://algoexplorer.io/address/VZBMOTCMEHRITULBNLCWHA5U62UUXLQZMLVM6HPBPCMIM2YOMHDQRTK64E"
"Whale Wallet 8",165563470,"https://algoexplorer.io/address/MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN72KQ3XPJCM6NOI"
"Whale Wallet 9",160009984,"https://algoexplorer.io/address/E4VMOYKWJCTKYVY447ALPOZMORITQYQVZVSYJ4ABLCCAAX4ZE6RNFDXZPI"
"Whale Wallet 10",158473043,"https://algoexplorer.io/address/2NBWLB4ZYRC6IKOEJT4HKVG7YCDEBRIOUSW7T2C7UKJFMMMCINDMIAQMME"
"Whale Wallet 11",150000000,"https://algoexplorer.io/address/S65E5X6BFQGF52RLNV4TCCM7UGPKPRZEVLKT5M7WR5FVJYEXLOFM72PSTM"
"Whale Wallet 12",133637391,"https://algoexplorer.io/address/HEOQ3S6V47RFLU2RZ5GTQYJBEFRL54UWZ77PNUBNTDVSXIPYOPE2XZJSLE"
"Whale Wallet 13",99935827,"https://algoexplorer.io/address/XYVASTMSYXHEHDH6EXYY6IDH5QJUWSUMPTKW5XILRF6QWT5EEQWQKN6NSY"
"Whale Wallet 14",99585827,"https://algoexplorer.io/address/75RGGQORYOJGBZWBZVA6VXKD66VO6HBSUHWARGJ7X3FZQH7QRPWXMHPKKQ"
"Whale Wallet 15",99502994,"https://algoexplorer.io/address/B23XLXSA3MBU3SLP5EF2HE7JRR2UMFNKZBIDRWQPGLGCNDNCABWHMDXPMQ"
"Whale Wallet 16",95990144,"https://algoexplorer.io/address/PZ7TILKNWVGJTAWF7YSBYDHT44SN6NQJXHI55ODGJXGXHGB64BH6MBDGFY"
"Whale Wallet 17",93100100,"https://algoexplorer.io/address/BSHYYRGWL542KR5AHOSZ3SEROTUJQTBOUGUHU6ZYNOZSJDBHLBCCM2YPE4"
"Whale Wallet 18",83856813,"https://algoexplorer.io/address/SJYNEQ36GVJBQ3YRZTVQGMFQDHRZKK3SGXF224WKNP7S3NAU563RNPUMWA"
"Whale Wallet 19",77012046,"https://algoexplorer.io/address/WHX7TIJ7Y3D36R5YKPDLOQVCQZZCSY756UZCERM6MTUBXDOQDMMUCYBZXM"
"Whale Wallet 20",70403977,"https://algoexplorer.io/address/OFB2SMWDDB3V4RYRSC6EXJYB2RYFVPWGYYEGAOLK52TN72G2DELKVENV44"
